orderid,custid,sellerid,odate,ototal,ordsatisfac,delsatisfac
28993,3893,8,2022-03-16,29443.95,5,3
28994,3894,11,2022-03-16,28787.85,5,5
28995,3895,8,2022-03-16,20188.95,5,5
28996,3896,11,2022-03-16,19222.00,5,3
28997,3897,8,2022-03-16,19004.85,5,5
28998,3898,6,2022-03-16,26069.00,5,5
28999,3899,8,2022-03-17,25074.00,5,4
29000,3900,6,2022-03-17,544.00,,
29001,3901,7,2022-03-17,25939.00,1,5
29002,3902,7,2022-03-17,26088.80,5,5
29003,3903,11,2022-03-17,18019.75,5,5
29004,3904,11,2022-03-18,26448.90,5,5
29005,3906,7,2022-03-18,18074.00,4,5
29006,3907,11,2022-03-18,29143.00,5,3
29007,3908,11,2022-03-18,18103.70,4,4
29008,3909,3,2022-03-18,28157.75,5,2
29009,3910,6,2022-03-18,19768.00,5,5
29010,3911,14,2022-03-18,26069.00,5,5
29011,3912,6,2022-03-18,25504.85,5,3
29012,3913,7,2022-03-18,18723.70,3,5
29013,3914,14,2022-03-18,20231.85,2,5
29014,3915,11,2022-03-18,30138.00,1,2
29015,3916,15,2022-03-19,24.75,,
29016,3917,14,2022-03-19,29009.80,5,4
29017,3918,9,2022-03-19,17995.00,5,5
29018,3919,8,2022-03-19,25990.00,5,4
29019,3920,8,2022-03-19,25990.00,4,5
29020,3922,3,2022-03-19,30162.80,5,5
29021,3923,6,2022-03-19,19227.00,5,5
29022,3924,9,2022-03-20,18694.00,5,4
29023,3926,6,2022-03-20,18444.00,5,5
29024,3927,7,2022-03-20,30208.75,4,5
29025,3928,12,2022-03-20,25029.65,5,4
29026,3930,6,2022-03-20,25153.00,5,1
29027,3931,1,2022-03-20,79.00,,
29028,3932,8,2022-03-20,20263.00,5,5
29029,3933,15,2022-03-20,28444.00,5,2
29030,3934,6,2022-03-20,19985.00,4,5
29031,3935,7,2022-03-20,19485.00,5,5
29032,3936,9,2022-03-21,29.70,,
29033,3937,3,2022-03-21,27929.00,5,5
