olid,orderid,productid,qty,lineprice,linetotal,builtdate,promisedate,deldate
42099,28481,19,1,27995.00,27995.00,2022-05-14,2022-05-04,2022-05-20
42100,28481,10,1,995.00,995.00,,2022-05-04,2022-05-20
42101,28481,16,3,79.00,237.00,,2022-05-04,2022-05-20
42102,28481,15,1,995.00,995.00,,2022-05-04,2022-05-20
42103,28481,13,4,4.95,19.80,,2022-05-04,2022-05-20
42104,28482,11,1,17995.00,17995.00,2022-04-29,2022-05-04,2022-05-07
42105,28482,12,1,699.00,699.00,2022-05-04,2022-05-07
42106,28482,13,3,4.95,14.85,,2022-05-04,2022-05-07
42107,28483,11,1,17995.00,17995.00,2022-04-28,2022-05-04,2022-05-05
42108,28483,16,1,79.00,79.00,,2022-05-04,2022-05-05
42109,28483,13,2,4.95,9.90,,2022-05-04,2022-05-05
42110,28484,11,1,17995.00,17995.00,2022-05-01,2022-05-04,2022-05-02
42111,28484,10,1,995.00,995.00,,2022-05-04,2022-05-02
42112,28484,16,3,79.00,237.00,,2022-05-04,2022-05-02
42113,28484,14,1,449.00,449.00,,2022-05-04,2022-05-02
42114,28484,15,1,995.00,995.00,,2022-05-04,2022-05-02
42115,28484,13,3,4.95,14.85,,2022-05-04,2022-05-02
42116,28485,13,7,4.95,34.65,,,2022-01-04
42117,28486,11,1,17995.00,17995.00,2022-05-02,2022-05-05,2022-05-09
42118,28486,10,1,995.00,995.00,,2022-05-05,2022-05-09
42119,28486,13,5,4.95,24.75,,2022-05-05,2022-05-09
42120,28487,11,1,17995.00,17995.00,2022-05-01,2022-05-05,2022-05-14
42121,28487,15,1,995.00,995.00,,2022-05-05,2022-05-14
42122,28488,18,1,24995.00,24995.00,2022-04-23,2022-05-05,2022-05-09
42123,28488,13,2,4.95,9.90,2022-04-23,2022-05-05,2022-05-09
42124,28489,19,1,27995.00,27995.00,2022-05-13,2022-05-05,2022-05-18
42125,28489,15,1,995.00,995.00,,2022-05-05,2022-05-18
42126,28489,13,2,4.95,9.90,,2022-05-05,2022-05-18
42127,28490,11,1,17995.00,17995.00,2022-05-05,2022-05-06,2022-05-19
42128,28490,16,1,79.00,79.00,,2022-05-06,2022-05-19
42129,28490,12,1,699.00,699.00,2022-05-06,2022-05-19
42130,28491,18,1,24995.00,24995.00,2022-04-30,2022-05-06,2022-05-10
42131,28491,10,1,995.00,995.00,,2022-05-06,2022-05-10
42132,28491,17,1,495.00,495.00,,2022-05-06,2022-05-10
42133,28491,13,3,4.95,14.85,,2022-05-06,2022-05-10
42134,28492,11,1,17995.00,17995.00,2022-05-06,2022-05-06,2022-05-12
42135,28492,10,1,995.00,995.00,,2022-05-06,2022-05-12
42136,28492,16,1,79.00,79.00,,2022-05-06,2022-05-12
42137,28492,14,1,449.00,449.00,,2022-05-06,2022-05-12
42138,28492,13,5,4.95,24.75,,2022-05-06,2022-05-12
42139,28493,19,1,27995.00,27995.00,2022-05-18,2022-05-06,2022-05-28
42140,28493,12,1,699.00,699.00,2022-05-06,2022-05-28
42141,28493,15,1,995.00,995.00,,2022-05-06,2022-05-28
42142,28493,13,6,4.95,29.70,,2022-05-06,2022-05-28
42143,28494,18,1,24995.00,24995.00,2022-04-27,2022-05-07,2022-05-02
42144,28494,10,1,995.00,995.00,,2022-05-07,2022-05-02
42145,28495,18,1,24995.00,24995.00,2022-05-02,2022-05-07,2022-05-04
42146,28495,14,1,449.00,449.00,,2022-05-07,2022-05-04
42147,28495,15,1,995.00,995.00,,2022-05-07,2022-05-04
42148,28495,13,6,4.95,29.70,,2022-05-07,2022-05-04
42149,28496,19,1,27995.00,27995.00,2022-05-18,2022-05-07,2022-05-28
42150,28496,16,1,79.00,79.00,,2022-05-07,2022-05-28
42151,28496,14,1,449.00,449.00,,2022-05-07,2022-05-28
42152,28497,11,1,17995.00,17995.00,2022-05-04,2022-05-07,2022-05-11
42153,28497,14,1,449.00,449.00,,2022-05-07,2022-05-11
42154,28498,11,1,17995.00,17995.00,2022-05-01,2022-05-08,2022-05-12
42155,28498,13,4,4.95,19.80,2022-05-01,2022-05-08,2022-05-12
42156,28499,18,1,24995.00,24995.00,2022-05-01,2022-05-08,2022-05-03
42157,28499,16,1,79.00,79.00,,2022-05-08,2022-05-03
42158,28499,14,1,449.00,449.00,,2022-05-08,2022-05-03
42159,28499,17,1,495.00,495.00,,2022-05-08,2022-05-03
42160,28499,13,5,4.95,24.75,,2022-05-08,2022-05-03
42161,28500,16,1,79.00,79.00,,,2022-01-08
42162,28501,18,1,24995.00,24995.00,2022-05-04,2022-05-08,2022-05-09
42163,28501,15,1,995.00,995.00,,2022-05-08,2022-05-09
42164,28502,11,1,17995.00,17995.00,2022-05-08,2022-05-08,2022-05-17
42165,28502,16,2,79.00,158.00,,2022-05-08,2022-05-17
42166,28502,12,1,699.00,699.00,2022-05-08,2022-05-17
42167,28502,13,4,4.95,19.80,,2022-05-08,2022-05-17
42168,28503,11,1,17995.00,17995.00,2022-05-01,2022-05-08,2022-05-14
42169,28503,14,1,449.00,449.00,,2022-05-08,2022-05-14
42170,28504,16,1,79.00,79.00,,,2022-01-08
42171,28505,11,1,17995.00,17995.00,2022-05-04,2022-05-08,2022-05-14
42172,28505,10,1,995.00,995.00,,2022-05-08,2022-05-14
42173,28505,14,1,449.00,449.00,,2022-05-08,2022-05-14
42174,28505,13,4,4.95,19.80,,2022-05-08,2022-05-14
42175,28506,19,1,27995.00,27995.00,2022-05-14,2022-05-08,2022-05-31
42176,28506,12,1,699.00,699.00,2022-05-08,2022-05-31
42177,28506,14,1,449.00,449.00,,2022-05-08,2022-05-31
42178,28506,13,4,4.95,19.80,,2022-05-08,2022-05-31
42179,28507,11,1,17995.00,17995.00,2022-04-30,2022-05-08,2022-05-11
42180,28507,16,1,79.00,79.00,,2022-05-08,2022-05-11
42181,28507,12,1,699.00,699.00,2022-05-08,2022-05-11
42182,28507,13,6,4.95,29.70,,2022-05-08,2022-05-11
42183,28508,18,1,24995.00,24995.00,2022-04-29,2022-05-08,2022-05-09
42184,28508,10,1,995.00,995.00,,2022-05-08,2022-05-09
42185,28508,13,5,4.95,24.75,,2022-05-08,2022-05-09
42186,28509,18,1,24995.00,24995.00,2022-05-01,2022-05-08,2022-05-18
42187,28509,10,1,995.00,995.00,,2022-05-08,2022-05-18
42188,28509,14,1,449.00,449.00,,2022-05-08,2022-05-18
42189,28510,11,1,17995.00,17995.00,2022-05-01,2022-05-08,2022-05-20
42190,28510,10,1,995.00,995.00,,2022-05-08,2022-05-20
42191,28510,13,3,4.95,14.85,,2022-05-08,2022-05-20
42192,28511,18,1,24995.00,24995.00,2022-05-05,2022-05-08,2022-05-10
42193,28511,13,7,4.95,34.65,2022-05-05,2022-05-08,2022-05-10
42194,28512,18,1,24995.00,24995.00,2022-04-27,2022-05-08,2022-05-07
42195,28512,12,1,699.00,699.00,2022-05-08,2022-05-07
42196,28512,13,1,4.95,4.95,,2022-05-08,2022-05-07
42197,28513,18,1,24995.00,24995.00,2022-05-02,2022-05-08,2022-05-14
42198,28513,10,1,995.00,995.00,,2022-05-08,2022-05-14
42199,28513,15,1,995.00,995.00,,2022-05-08,2022-05-14
42200,28514,19,1,27995.00,27995.00,2022-05-16,2022-05-08,2022-05-20
42201,28514,16,1,79.00,79.00,,2022-05-08,2022-05-20
42202,28514,12,1,699.00,699.00,2022-05-08,2022-05-20
42203,28514,14,1,449.00,449.00,,2022-05-08,2022-05-20
42204,28514,13,3,4.95,14.85,,2022-05-08,2022-05-20
42205,28515,19,1,27995.00,27995.00,2022-05-14,2022-05-08,2022-05-29
42206,28515,14,1,449.00,449.00,,2022-05-08,2022-05-29
42207,28515,15,1,995.00,995.00,,2022-05-08,2022-05-29
42208,28516,11,1,17995.00,17995.00,2022-04-30,2022-05-08,2022-05-18
42209,28516,10,1,995.00,995.00,,2022-05-08,2022-05-18
42210,28516,14,1,449.00,449.00,,2022-05-08,2022-05-18
42211,28516,15,1,995.00,995.00,,2022-05-08,2022-05-18
42212,28517,13,4,4.95,19.80,,,2022-01-08
42213,28518,11,1,17995.00,17995.00,2022-05-06,2022-05-08,2022-05-25
42214,28518,16,1,79.00,79.00,,2022-05-08,2022-05-25
42215,28518,12,1,699.00,699.00,2022-05-08,2022-05-25
42216,28518,14,1,449.00,449.00,,2022-05-08,2022-05-25
42217,28518,15,1,995.00,995.00,,2022-05-08,2022-05-25
42218,28518,13,4,4.95,19.80,,2022-05-08,2022-05-25
42219,28519,11,1,17995.00,17995.00,2022-05-01,2022-05-08,2022-05-21
42220,28519,10,1,995.00,995.00,,2022-05-08,2022-05-21
42221,28519,12,1,699.00,699.00,2022-05-08,2022-05-21
42222,28519,13,3,4.95,14.85,,2022-05-08,2022-05-21
42223,28520,11,1,17995.00,17995.00,2022-05-01,2022-05-09,2022-05-09
42224,28520,10,1,995.00,995.00,,2022-05-09,2022-05-09
42225,28521,11,1,17995.00,17995.00,2022-05-07,2022-05-09,2022-05-16
42226,28521,14,1,449.00,449.00,,2022-05-09,2022-05-16
42227,28521,17,1,495.00,495.00,,2022-05-09,2022-05-16
42228,28522,19,1,27995.00,27995.00,2022-05-22,2022-05-09,2022-06-10
42229,28522,16,1,79.00,79.00,,2022-05-09,2022-06-10
42230,28522,12,1,699.00,699.00,2022-05-09,2022-06-10
42231,28523,19,1,27995.00,27995.00,2022-05-19,2022-05-09,2022-06-07
42232,28523,10,1,995.00,995.00,,2022-05-09,2022-06-07
42233,28523,13,4,4.95,19.80,,2022-05-09,2022-06-07
42234,28524,18,1,24995.00,24995.00,2022-05-02,2022-05-09,2022-05-03
42235,28524,10,1,995.00,995.00,,2022-05-09,2022-05-03
42236,28524,17,1,495.00,495.00,,2022-05-09,2022-05-03
42237,28524,13,3,4.95,14.85,,2022-05-09,2022-05-03
42238,28525,18,1,24995.00,24995.00,2022-05-08,2022-05-09,2022-05-20
42239,28525,10,1,995.00,995.00,,2022-05-09,2022-05-20
42240,28525,12,1,699.00,699.00,2022-05-09,2022-05-20
42241,28526,19,1,27995.00,27995.00,2022-05-09,2022-05-09,2022-05-13
42242,28526,16,3,79.00,237.00,,2022-05-09,2022-05-13
42243,28526,15,1,995.00,995.00,,2022-05-09,2022-05-13
42244,28526,13,1,4.95,4.95,,2022-05-09,2022-05-13
42245,28527,19,1,27995.00,27995.00,2022-05-20,2022-05-09,2022-06-02
42246,28527,10,1,995.00,995.00,,2022-05-09,2022-06-02
42247,28527,15,1,995.00,995.00,,2022-05-09,2022-06-02
42248,28528,13,5,4.95,24.75,,,2022-01-09
42249,28529,18,1,24995.00,24995.00,2022-04-30,2022-05-10,2022-05-16
42250,28529,10,1,995.00,995.00,,2022-05-10,2022-05-16
42251,28529,14,1,449.00,449.00,,2022-05-10,2022-05-16
42252,28530,18,1,24995.00,24995.00,2022-05-07,2022-05-10,2022-05-20
42253,28530,16,1,79.00,79.00,,2022-05-10,2022-05-20
42254,28530,13,4,4.95,19.80,,2022-05-10,2022-05-20
42255,28531,11,1,17995.00,17995.00,2022-05-02,2022-05-11,2022-05-13
42256,28531,10,1,995.00,995.00,,2022-05-11,2022-05-13
42257,28531,12,1,699.00,699.00,2022-05-11,2022-05-13
42258,28531,13,7,4.95,34.65,,2022-05-11,2022-05-13
42259,28532,11,1,17995.00,17995.00,2022-05-09,2022-05-11,2022-05-12
42260,28532,10,1,995.00,995.00,,2022-05-11,2022-05-12
42261,28532,13,6,4.95,29.70,,2022-05-11,2022-05-12
42262,28533,18,1,24995.00,24995.00,2022-05-02,2022-05-11,2022-05-18
42263,28533,10,1,995.00,995.00,,2022-05-11,2022-05-18
42264,28533,12,1,699.00,699.00,2022-05-11,2022-05-18
42265,28533,17,1,495.00,495.00,,2022-05-11,2022-05-18
42266,28534,11,1,17995.00,17995.00,2022-05-06,2022-05-11,2022-05-15
42267,28534,10,1,995.00,995.00,,2022-05-11,2022-05-15
42268,28534,13,4,4.95,19.80,,2022-05-11,2022-05-15
42269,28535,11,1,17995.00,17995.00,2022-05-02,2022-05-11,2022-05-20
42270,28535,14,1,449.00,449.00,,2022-05-11,2022-05-20
42271,28535,15,1,995.00,995.00,,2022-05-11,2022-05-20
42272,28535,13,3,4.95,14.85,,2022-05-11,2022-05-20
42273,28536,18,1,24995.00,24995.00,2022-05-07,2022-05-11,2022-05-13
42274,28536,10,1,995.00,995.00,,2022-05-11,2022-05-13
42275,28536,15,1,995.00,995.00,,2022-05-11,2022-05-13
42276,28537,11,1,17995.00,17995.00,2022-05-08,2022-05-11,2022-05-26
42277,28537,10,1,995.00,995.00,,2022-05-11,2022-05-26
42278,28537,13,5,4.95,24.75,,2022-05-11,2022-05-26
42279,28538,11,1,17995.00,17995.00,2022-05-05,2022-05-12,2022-05-14
42280,28538,14,1,449.00,449.00,,2022-05-12,2022-05-14
42281,28539,11,1,17995.00,17995.00,2022-05-06,2022-05-12,2022-05-18
42282,28539,10,1,995.00,995.00,,2022-05-12,2022-05-18
42283,28539,17,1,495.00,495.00,,2022-05-12,2022-05-18
42284,28539,13,4,4.95,19.80,,2022-05-12,2022-05-18
42285,28540,11,1,17995.00,17995.00,2022-05-07,2022-05-12,2022-05-20
42286,28540,16,1,79.00,79.00,,2022-05-12,2022-05-20
42287,28540,13,4,4.95,19.80,,2022-05-12,2022-05-20
42288,28541,19,1,27995.00,27995.00,2022-05-23,2022-05-13,2022-05-31
42289,28541,16,1,79.00,79.00,,2022-05-13,2022-05-31
42290,28541,14,1,449.00,449.00,,2022-05-13,2022-05-31
42291,28542,19,1,27995.00,27995.00,2022-05-21,2022-05-13,2022-06-04
42292,28542,16,2,79.00,158.00,,2022-05-13,2022-06-04
42293,28542,13,4,4.95,19.80,,2022-05-13,2022-06-04
42294,28543,19,1,27995.00,27995.00,2022-05-26,2022-05-13,2022-06-07
42295,28543,13,4,4.95,19.80,2022-05-26,2022-05-13,2022-06-07
42296,28544,11,1,17995.00,17995.00,2022-05-06,2022-05-13,2022-05-25
42297,28544,16,1,79.00,79.00,,2022-05-13,2022-05-25
42298,28545,19,1,27995.00,27995.00,2022-05-15,2022-05-13,2022-05-16
42299,28545,13,4,4.95,19.80,2022-05-15,2022-05-13,2022-05-16
42300,28546,18,1,24995.00,24995.00,2022-05-09,2022-05-13,2022-05-26
42301,28546,12,1,699.00,699.00,2022-05-13,2022-05-26
42302,28546,13,4,4.95,19.80,,2022-05-13,2022-05-26
42303,28547,18,1,24995.00,24995.00,2022-05-11,2022-05-14,2022-05-20
42304,28547,12,1,699.00,699.00,2022-05-14,2022-05-20
42305,28547,13,3,4.95,14.85,,2022-05-14,2022-05-20
42306,28548,18,1,24995.00,24995.00,2022-05-10,2022-05-14,2022-05-20
42307,28548,12,1,699.00,699.00,2022-05-14,2022-05-20
42308,28548,13,4,4.95,19.80,,2022-05-14,2022-05-20
42309,28549,18,1,24995.00,24995.00,2022-05-01,2022-05-14,2022-05-12
42310,28549,12,1,699.00,699.00,2022-05-14,2022-05-12
42311,28549,17,1,495.00,495.00,,2022-05-14,2022-05-12
42312,28549,13,4,4.95,19.80,,2022-05-14,2022-05-12
42313,28550,11,1,17995.00,17995.00,2022-05-11,2022-05-14,2022-05-14
42314,28550,16,1,79.00,79.00,,2022-05-14,2022-05-14
42315,28551,19,1,27995.00,27995.00,2022-05-22,2022-05-14,2022-05-23
42316,28551,16,1,79.00,79.00,,2022-05-14,2022-05-23
42317,28551,14,1,449.00,449.00,,2022-05-14,2022-05-23
42318,28551,13,6,4.95,29.70,,2022-05-14,2022-05-23
42319,28552,11,1,17995.00,17995.00,2022-05-05,2022-05-14,2022-05-24
42320,28553,18,1,24995.00,24995.00,2022-05-02,2022-05-14,2022-05-06
42321,28553,16,1,79.00,79.00,,2022-05-14,2022-05-06
42322,28553,14,1,449.00,449.00,,2022-05-14,2022-05-06
42323,28553,13,6,4.95,29.70,,2022-05-14,2022-05-06
42324,28554,11,1,17995.00,17995.00,2022-05-09,2022-05-14,2022-05-24
42325,28554,10,1,995.00,995.00,,2022-05-14,2022-05-24
42326,28555,18,1,24995.00,24995.00,2022-05-08,2022-05-14,2022-05-12
42327,28555,15,1,995.00,995.00,,2022-05-14,2022-05-12
42328,28556,19,1,27995.00,27995.00,2022-05-19,2022-05-15,2022-06-04
42329,28556,12,1,699.00,699.00,2022-05-15,2022-06-04
42330,28556,14,1,449.00,449.00,,2022-05-15,2022-06-04
42331,28556,13,4,4.95,19.80,,2022-05-15,2022-06-04
42332,28557,18,1,24995.00,24995.00,2022-05-08,2022-05-15,2022-05-20
42333,28557,16,1,79.00,79.00,,2022-05-15,2022-05-20
42334,28557,14,1,449.00,449.00,,2022-05-15,2022-05-20
42335,28557,15,1,995.00,995.00,,2022-05-15,2022-05-20
42336,28557,17,1,495.00,495.00,,2022-05-15,2022-05-20
42337,28557,13,4,4.95,19.80,,2022-05-15,2022-05-20
42338,28558,11,1,17995.00,17995.00,2022-05-08,2022-05-15,2022-05-17
42339,28558,16,3,79.00,237.00,,2022-05-15,2022-05-17
42340,28558,17,1,495.00,495.00,,2022-05-15,2022-05-17
42341,28559,18,1,24995.00,24995.00,2022-05-09,2022-05-15,2022-05-17
42342,28559,16,2,79.00,158.00,,2022-05-15,2022-05-17
42343,28560,13,1,4.95,4.95,,,2022-01-15
42344,28561,18,1,24995.00,24995.00,2022-05-07,2022-05-15,2022-05-27
42345,28561,12,1,699.00,699.00,2022-05-15,2022-05-27
42346,28562,19,1,27995.00,27995.00,2022-05-14,2022-05-15,2022-05-16
42347,28562,16,1,79.00,79.00,,2022-05-15,2022-05-16
42348,28562,14,1,449.00,449.00,,2022-05-15,2022-05-16
42349,28562,13,2,4.95,9.90,,2022-05-15,2022-05-16
42350,28563,19,1,27995.00,27995.00,2022-05-17,2022-05-15,2022-05-19
42351,28564,18,1,24995.00,24995.00,2022-05-13,2022-05-15,2022-05-29
42352,28564,10,1,995.00,995.00,,2022-05-15,2022-05-29
42353,28564,16,1,79.00,79.00,,2022-05-15,2022-05-29
42354,28564,14,1,449.00,449.00,,2022-05-15,2022-05-29
42355,28564,15,1,995.00,995.00,,2022-05-15,2022-05-29
42356,28564,17,1,495.00,495.00,,2022-05-15,2022-05-29
42357,28564,13,2,4.95,9.90,,2022-05-15,2022-05-29
42358,28565,16,1,79.00,79.00,,,2022-01-15
42359,28566,19,1,27995.00,27995.00,2022-05-28,2022-05-15,2022-06-04
42360,28566,10,1,995.00,995.00,,2022-05-15,2022-06-04
42361,28566,14,1,449.00,449.00,,2022-05-15,2022-06-04
42362,28566,17,1,495.00,495.00,,2022-05-15,2022-06-04
42363,28566,13,5,4.95,24.75,,2022-05-15,2022-06-04
42364,28567,11,1,17995.00,17995.00,2022-05-13,2022-05-15,2022-05-20
42365,28567,10,1,995.00,995.00,,2022-05-15,2022-05-20
42366,28567,12,1,699.00,699.00,2022-05-15,2022-05-20
42367,28567,13,6,4.95,29.70,,2022-05-15,2022-05-20
42368,28568,18,1,24995.00,24995.00,2022-05-08,2022-05-15,2022-05-20
42369,28568,10,1,995.00,995.00,,2022-05-15,2022-05-20
42370,28568,13,4,4.95,19.80,,2022-05-15,2022-05-20
42371,28569,18,1,24995.00,24995.00,2022-05-07,2022-05-15,2022-05-12
42372,28569,14,1,449.00,449.00,,2022-05-15,2022-05-12
42373,28569,15,1,995.00,995.00,,2022-05-15,2022-05-12
42374,28570,18,1,24995.00,24995.00,2022-05-13,2022-05-15,2022-05-27
42375,28570,10,1,995.00,995.00,,2022-05-15,2022-05-27
42376,28570,17,1,495.00,495.00,,2022-05-15,2022-05-27
42377,28571,18,1,24995.00,24995.00,2022-05-07,2022-05-15,2022-05-23
42378,28571,14,1,449.00,449.00,,2022-05-15,2022-05-23
42379,28571,15,1,995.00,995.00,,2022-05-15,2022-05-23
42380,28572,11,1,17995.00,17995.00,2022-05-11,2022-05-15,2022-05-25
42381,28572,12,1,699.00,699.00,2022-05-15,2022-05-25
42382,28573,19,1,27995.00,27995.00,2022-05-24,2022-05-15,2022-05-28
42383,28573,10,1,995.00,995.00,,2022-05-15,2022-05-28
42384,28573,16,1,79.00,79.00,,2022-05-15,2022-05-28
42385,28573,14,1,449.00,449.00,,2022-05-15,2022-05-28
42386,28573,13,4,4.95,19.80,,2022-05-15,2022-05-28
42387,28574,11,1,17995.00,17995.00,2022-05-11,2022-05-15,2022-05-20
42388,28574,10,1,995.00,995.00,,2022-05-15,2022-05-20
42389,28574,12,1,699.00,699.00,2022-05-15,2022-05-20
42390,28574,13,3,4.95,14.85,,2022-05-15,2022-05-20
42391,28575,18,1,24995.00,24995.00,2022-05-11,2022-05-15,2022-05-30
42392,28575,12,1,699.00,699.00,2022-05-15,2022-05-30
42393,28576,11,1,17995.00,17995.00,2022-05-11,2022-05-16,2022-05-30
42394,28576,15,1,995.00,995.00,,2022-05-16,2022-05-30
42395,28576,13,6,4.95,29.70,,2022-05-16,2022-05-30
42396,28577,13,8,4.95,39.60,,,2022-01-16
42397,28578,18,1,24995.00,24995.00,2022-05-04,2022-05-16,2022-05-18
42398,28578,16,1,79.00,79.00,,2022-05-16,2022-05-18
42399,28578,14,1,449.00,449.00,,2022-05-16,2022-05-18
