orderid,custid,sellerid,odate,ototal,ordsatisfac,delsatisfac
28532,3400,12,2022-01-10,26722.00,5,5
28533,3401,15,2022-01-10,25444.00,4,4
28534,3402,9,2022-01-10,28990.00,2,4
28535,3403,3,2022-01-10,29667.70,5,4
28536,3404,15,2022-01-10,18014.80,5,3
28537,3405,12,2022-01-10,18708.85,2,5
28538,3406,14,2022-01-11,19069.00,5,2
28539,3407,3,2022-01-11,30167.70,5,5
28540,3408,11,2022-01-11,30162.75,5,3
28541,3409,3,2022-01-11,27480.00,5,5
28542,3410,11,2022-01-11,18718.75,5,5
28543,3411,14,2022-01-11,26088.80,4,5
28544,3412,14,2022-01-11,19078.90,3,5
28545,3413,11,2022-01-12,19143.00,5,1
28546,3414,8,2022-01-12,20297.65,5,5
28547,3415,6,2022-01-12,19689.00,5,4
28548,3416,11,2022-01-12,17999.95,5,5
28549,3417,6,2022-01-12,20088.75,5,5
28550,3418,8,2022-01-12,29.70,,
28551,3419,1,2022-01-13,25088.85,5,5
28552,3420,9,2022-01-13,27995.00,5,1
28553,3421,11,2022-01-13,29143.00,1,3
28554,3422,11,2022-01-13,28990.00,3,1
28555,3423,9,2022-01-13,25542.80,5,5
28556,3424,8,2022-01-13,27662.70,5,5
28557,3425,6,2022-01-13,26078.90,5,4
28558,3426,8,2022-01-14,27013.00,5,5
28559,3428,11,2022-01-14,30296.00,5,3
28560,3429,13,2022-01-14,18792.80,3,4
28561,3430,3,2022-01-14,18074.00,1,4
28562,3431,13,2022-01-14,29439.00,5,5
28563,3432,3,2022-01-14,26953.80,5,1
28564,3433,6,2022-01-14,18569.00,5,4
28565,3434,9,2022-01-14,18004.90,5,2
28566,3435,3,2022-01-14,26019.70,5,5
28567,3436,1,2022-01-14,26004.85,5,5
28568,3437,8,2022-01-14,29014.75,5,5
28569,3438,6,2022-01-15,19985.00,5,3
28570,3439,7,2022-01-15,18990.00,3,1
28571,3440,14,2022-01-15,449.00,,
28572,3441,11,2022-01-15,19152.90,4,3
28573,3442,7,2022-01-15,27143.00,5,5
28574,3443,3,2022-01-15,27147.95,5,5
28575,3444,15,2022-01-16,18029.65,5,5
28576,3445,3,2022-01-16,26787.80,5,5
28577,3446,8,2022-01-16,27684.00,2,4
28578,3447,6,2022-01-16,26083.85,5,2
28579,3448,6,2022-01-16,26532.85,5,5
28580,3449,8,2022-01-16,26703.85,5,5
28581,3450,6,2022-01-16,29143.00,3,4
28582,3451,8,2022-01-16,19768.00,5,5
28583,3452,1,2022-01-16,27458.75,5,2
28584,3453,8,2022-01-16,39.60,,
28585,3454,7,2022-01-16,26564.00,5,5
28586,3455,7,2022-01-16,28463.80,5,5
28587,3456,12,2022-01-16,453.95,,
28588,3458,8,2022-01-16,19189.00,3,5
28589,3459,9,2022-01-16,18093.80,5,4
28590,3460,6,2022-01-16,18990.00,5,5
28591,3461,12,2022-01-16,26926.00,4,5
28592,3462,7,2022-01-17,19004.85,4,5
28593,3463,12,2022-01-17,25990.00,4,1
28594,3464,3,2022-01-17,24.75,,
28595,3465,14,2022-01-17,19172.75,5,5
28596,3466,7,2022-01-17,25444.00,5,5
28597,3467,3,2022-01-18,26093.75,5,5
28598,3468,14,2022-01-18,19439.00,3,5
28599,3470,14,2022-01-19,18728.65,5,5
28600,3471,8,2022-01-19,25953.85,5,5
28601,3472,11,2022-01-19,103.75,,
28602,3473,6,2022-01-19,26458.80,2,5
28603,3474,11,2022-01-19,28694.00,2,1
28604,3475,7,2022-01-20,20019.65,4,2
28605,3476,1,2022-01-20,19689.00,5,1
28606,3477,9,2022-01-21,28694.00,5,5
28607,3478,8,2022-01-21,20096.95,5,2
28608,3479,9,2022-01-21,25694.00,5,3
28609,3480,13,2022-01-21,29718.70,5,4
28610,3481,7,2022-01-22,26657.80,5,5
28611,3482,13,2022-01-22,79.00,,
28612,3483,7,2022-01-22,19083.85,5,5
28613,3484,9,2022-01-22,19439.00,5,4
28614,3485,8,2022-01-22,25569.00,5,4
28615,3486,6,2022-01-22,27064.00,4,5
28616,3488,6,2022-01-22,79.00,,
28617,3489,3,2022-01-22,18973.65,5,1
28618,3490,9,2022-01-22,30434.00,5,1
28619,3491,8,2022-01-23,25990.00,5,4
28620,3492,13,2022-01-23,29143.00,5,4
28621,3493,6,2022-01-23,17995.00,5,5
28622,3494,8,2022-01-23,24.75,,
28623,3495,7,2022-01-23,27513.00,5,5
28624,3496,6,2022-01-23,26143.00,2,5
28625,3497,8,2022-01-23,26768.00,5,5
28626,3498,8,2022-01-23,27684.00,5,5
28627,3499,8,2022-01-23,30573.85,5,5
28628,3500,1,2022-01-23,26143.00,5,5
28629,3502,8,2022-01-23,26647.90,5,4
28630,3503,7,2022-01-23,26935.90,4,5
28631,3504,15,2022-01-23,18074.00,5,4
28632,3505,12,2022-01-23,19208.80,4,5
28633,3507,6,2022-01-23,18852.00,2,5
28634,3508,12,2022-01-23,18569.00,5,5
28635,3509,3,2022-01-24,19968.65,5,2
28636,3511,3,2022-01-24,29518.00,5,1
28637,3512,3,2022-01-24,449.00,,
28638,3513,14,2022-01-24,473.75,,
28639,3514,3,2022-01-25,26213.75,5,4
28640,3515,11,2022-01-25,28014.80,5,1
28641,3516,3,2022-01-25,26626.70,5,3
28642,3517,11,2022-01-25,17995.00,5,3
28643,3519,8,2022-01-26,28019.75,5,5
28644,3520,8,2022-01-26,28458.85,4,5
28645,3521,8,2022-01-27,27282.80,5,5
28646,3522,9,2022-01-27,18024.70,5,1
28647,3523,7,2022-01-27,26985.00,5,5
28648,3524,8,2022-01-27,28232.00,5,5
28649,3525,8,2022-01-27,30263.00,5,5
28650,3526,7,2022-01-28,9.90,,
28651,3527,13,2022-01-28,26448.90,2,4
28652,3528,3,2022-01-28,27184.00,5,5
28653,3529,7,2022-01-29,20217.00,4,5
28654,3530,1,2022-01-29,27995.00,5,1
28655,3531,6,2022-01-29,26768.00,5,5
28656,3532,3,2022-01-29,20042.70,4,5
28657,3533,14,2022-01-29,25782.90,5,5
28658,3534,3,2022-01-29,17995.00,5,5
28659,3535,15,2022-01-29,28029.65,5,5
28660,3536,1,2022-01-29,28024.70,5,4
28661,3537,6,2022-01-29,18074.00,5,5
28662,3538,7,2022-01-29,25718.75,5,5
28663,3539,7,2022-01-29,18162.90,5,5
28664,3540,9,2022-01-29,27231.85,5,5
28665,3541,3,2022-01-29,29689.00,5,1
28666,3542,13,2022-01-29,98.80,,
28667,3543,13,2022-01-30,29782.85,5,1
28668,3544,6,2022-01-30,25990.00,5,5
28669,3545,15,2022-01-30,26597.00,5,3
28670,3546,13,2022-01-30,18444.00,5,5
28671,3547,13,2022-01-30,29439.00,5,1
28672,3548,15,2022-01-30,28074.00,5,5
28673,3549,12,2022-01-30,19985.00,2,5
28674,3550,1,2022-01-30,26485.00,5,5
28675,3552,6,2022-01-30,28019.75,5,3
28676,3554,6,2022-01-30,26999.85,3,5
28677,3555,9,2022-01-30,26143.00,2,5
28678,3557,9,2022-01-30,26143.00,5,2
28679,3558,9,2022-01-30,25444.00,5,2
28680,3559,12,2022-01-30,29787.80,5,5
28681,3560,7,2022-01-30,26934.00,5,5
28682,3561,1,2022-01-30,26985.00,5,4
28683,3562,1,2022-01-30,28953.85,5,1
28684,3563,14,2022-01-31,19024.65,5,5
28685,3564,15,2022-01-31,28542.80,5,3
28686,3565,3,2022-01-31,30480.00,5,3
28687,3566,15,2022-01-31,17995.00,5,5
28688,3567,3,2022-02-01,88.90,,
28689,3568,11,2022-02-01,26718.70,5,3
28690,3569,3,2022-02-01,30800.90,5,5
28691,3570,14,2022-02-01,28557.65,5,4
28692,3571,8,2022-02-02,25583.85,2,2
28693,3572,11,2022-02-02,17995.00,5,4
28694,3573,11,2022-02-02,28953.85,1,4
28695,3574,11,2022-02-02,24.75,,
28696,3575,8,2022-02-03,34.65,,
28697,3576,8,2022-02-03,26208.80,4,5
28698,3577,6,2022-02-04,25029.65,5,5
28699,3578,7,2022-02-04,26083.85,5,5
28700,3580,6,2022-02-04,19.80,,
28701,3581,8,2022-02-04,27263.00,5,5
28702,3582,8,2022-02-04,26708.80,4,5
28703,3583,9,2022-02-04,29009.80,5,3
28704,3584,6,2022-02-04,26777.90,3,5
28705,3585,13,2022-02-04,18694.00,5,1
28706,3586,7,2022-02-04,17999.95,3,5
28707,3587,9,2022-02-04,28444.00,5,5
28708,3588,1,2022-02-04,28994.95,5,5
28709,3589,14,2022-02-04,20513.00,5,3
28710,3590,6,2022-02-05,18074.00,1,5
28711,3591,15,2022-02-05,24995.00,5,5
28712,3592,1,2022-02-05,113.65,,
28713,3593,3,2022-02-05,26439.00,5,5
28714,3594,11,2022-02-05,18713.80,4,5
28715,3595,6,2022-02-05,19069.00,5,5
28716,3596,3,2022-02-05,20480.00,1,5
28717,3597,14,2022-02-05,79.00,,
28718,3598,1,2022-02-05,26722.00,5,5
28719,3599,13,2022-02-05,19069.00,4,5
28720,3600,3,2022-02-05,25024.70,2,5
28721,3601,12,2022-02-05,30009.75,5,2
28722,3602,3,2022-02-05,30463.70,3,4
28723,3603,13,2022-02-05,18523.00,5,4
28724,3604,13,2022-02-05,27995.00,5,1
28725,3605,1,2022-02-05,19564.00,5,4
28726,3607,8,2022-02-05,26019.70,5,5
28727,3608,8,2022-02-05,95.00,,
28728,3609,3,2022-02-05,26024.65,5,5
28729,3610,9,2022-02-05,28852.00,5,5
28730,3612,7,2022-02-06,19713.75,5,5
28731,3613,15,2022-02-06,25773.00,5,5
28732,3614,7,2022-02-06,26689.00,5,5
28733,3615,9,2022-02-06,20138.00,5,4
28734,3617,6,2022-02-06,25990.00,5,5
28735,3618,7,2022-02-06,18490.00,2,3
28736,3619,7,2022-02-06,18741.85,5,5
28737,3620,7,2022-02-06,20184.00,5,5
28738,3621,3,2022-02-06,25713.80,5,1
28739,3622,7,2022-02-06,20480.00,4,5
28740,3623,7,2022-02-06,26069.00,5,5
28741,3624,6,2022-02-06,31246.65,4,1
28742,3625,7,2022-02-06,18024.70,4,5
28743,3626,9,2022-02-07,19708.80,5,3
28744,3627,9,2022-02-07,158.00,,
28745,3628,3,2022-02-08,26934.00,5,5
28746,3629,14,2022-02-08,25990.00,2,4
28747,3630,11,2022-02-08,18004.90,1,2
28748,3631,3,2022-02-08,19439.00,5,5
28749,3632,3,2022-02-08,26009.80,5,5
28750,3633,14,2022-02-08,25773.00,4,5
28751,3634,3,2022-02-08,20741.70,2,5
28752,3635,8,2022-02-09,28958.80,5,5
28753,3636,8,2022-02-09,25569.00,5,5
28754,3637,11,2022-02-09,9.90,,
28755,3638,8,2022-02-10,26999.85,5,5
28756,3639,11,2022-02-10,25444.00,4,2
28757,3640,6,2022-02-10,17995.00,5,5
28758,3641,9,2022-02-10,30621.70,5,3
28759,3642,9,2022-02-10,29453.85,5,5
28760,3643,11,2022-02-10,29172.70,4,2
28761,3644,9,2022-02-11,29439.00,5,3
28762,3645,8,2022-02-11,20708.75,5,5
28763,3647,1,2022-02-11,30217.00,4,5
28764,3648,3,2022-02-11,30093.70,5,5
28765,3649,9,2022-02-11,28468.75,5,5
28766,3650,1,2022-02-11,9.90,,
28767,3651,6,2022-02-11,26227.00,5,5
28768,3652,14,2022-02-12,18024.70,2,5
28769,3653,6,2022-02-12,25990.00,4,5
28770,3654,8,2022-02-12,19485.00,5,5
28771,3655,11,2022-02-12,29689.00,5,5
28772,3656,13,2022-02-12,19236.85,3,4
28773,3657,11,2022-02-12,28232.00,5,5
28774,3658,8,2022-02-12,30763.00,4,5
28775,3660,1,2022-02-12,19.80,,
28776,3661,6,2022-02-12,28990.00,5,1
28777,3662,13,2022-02-12,18990.00,4,3
28778,3663,1,2022-02-12,18490.00,3,3
28779,3664,1,2022-02-12,26019.70,5,4
28780,3665,15,2022-02-12,19009.80,5,4
28781,3666,1,2022-02-12,26989.95,5,2
28782,3667,9,2022-02-12,25523.00,5,2
28783,3668,11,2022-02-12,14.85,,
28784,3669,7,2022-02-12,26518.00,5,5
28785,3670,3,2022-02-12,29069.00,5,3
28786,3673,12,2022-02-12,25990.00,5,5
28787,3674,12,2022-02-12,20184.00,4,5
28788,3675,1,2022-02-13,28463.80,4,3
28789,3676,9,2022-02-13,18773.00,5,5
28790,3677,3,2022-02-13,26547.70,5,5
28791,3678,6,2022-02-13,20815.75,2,4
28792,3679,7,2022-02-13,30713.70,5,5
28793,3680,15,2022-02-13,24995.00,5,4
28794,3681,6,2022-02-13,25078.95,5,5
28795,3682,12,2022-02-13,18773.00,4,5
28796,3683,12,2022-02-13,26485.00,5,5
28797,3684,13,2022-02-13,30138.00,2,1
28798,3685,6,2022-02-13,113.65,,
28799,3686,6,2022-02-13,18074.00,5,5
28800,3687,12,2022-02-13,29703.85,4,5
28801,3688,7,2022-02-13,26985.00,2,5
28802,3689,6,2022-02-13,19069.00,5,5
28803,3690,7,2022-02-13,25990.00,5,1
28804,3691,6,2022-02-13,19069.00,5,5
28805,3692,15,2022-02-14,79.00,,
28806,3693,12,2022-02-14,18019.75,1,5
28807,3694,14,2022-02-14,28236.75,5,2
28808,3695,15,2022-02-14,25713.80,2,2
28809,3696,14,2022-02-14,26527.90,5,5
28810,3698,14,2022-02-15,28990.00,5,5
28811,3699,14,2022-02-15,19542.75,5,4
28812,3700,11,2022-02-16,29.70,,
28813,3701,6,2022-02-16,24995.00,3,5
28814,3702,11,2022-02-16,18694.00,5,5
28815,3703,8,2022-02-16,18703.90,5,5
28816,3704,6,2022-02-16,18718.75,5,5
28817,3705,6,2022-02-17,25019.75,5,5
28818,3706,1,2022-02-17,28098.75,5,5
28819,3707,6,2022-02-17,18074.00,5,5
28820,3708,8,2022-02-17,27494.85,5,5
28821,3709,11,2022-02-17,17995.00,5,3
28822,3710,6,2022-02-17,18009.85,5,5
28823,3711,14,2022-02-18,18990.00,4,5
28824,3712,6,2022-02-18,18602.00,5,5
28825,3713,1,2022-02-18,19792.75,2,3
28826,3714,11,2022-02-19,18694.00,1,3
28827,3715,13,2022-02-19,28074.00,5,3
28828,3716,12,2022-02-19,18103.70,5,5
28829,3717,12,2022-02-19,18990.00,4,5
28830,3718,8,2022-02-19,98.80,,
28831,3719,8,2022-02-19,29004.85,5,5
28832,3720,8,2022-02-19,25990.00,3,5
28833,3721,8,2022-02-19,29189.00,5,5
28834,3722,12,2022-02-20,18490.00,4,5
28835,3723,6,2022-02-20,29069.00,5,5
28836,3724,9,2022-02-20,28713.80,5,3
28837,3725,7,2022-02-20,25261.70,5,5
28838,3726,13,2022-02-20,19172.70,4,5
28839,3727,15,2022-02-20,18931.00,5,5
28840,3728,1,2022-02-20,26689.00,5,5
28841,3729,8,2022-02-20,29098.70,5,5
28842,3730,3,2022-02-20,26148.00,5,5
28843,3731,8,2022-02-20,18990.00,4,5
28844,3732,13,2022-02-20,25153.00,5,2
28845,3733,12,2022-02-20,4.95,,
28846,3734,15,2022-02-20,34.65,,
28847,3735,12,2022-02-20,26069.00,5,5
28848,3736,7,2022-02-21,27013.00,5,5
28849,3737,15,2022-02-21,18694.00,5,5
28850,3738,3,2022-02-21,29518.00,5,1
28851,3739,3,2022-02-22,29796.00,5,5
28852,3740,14,2022-02-22,25773.00,5,5
28853,3741,3,2022-02-22,14.85,,
28854,3742,3,2022-02-22,19676.00,5,1
28855,3743,8,2022-02-23,24.75,,
28856,3745,14,2022-02-23,20217.00,5,5
28857,3746,8,2022-02-24,27657.75,5,5
28858,3747,8,2022-02-24,28093.80,5,4
28859,3748,3,2022-02-25,28473.70,4,5
28860,3749,8,2022-02-25,26014.75,5,5
28861,3750,14,2022-02-25,29847.00,4,2
28862,3751,6,2022-02-25,28787.85,3,4
28863,3752,8,2022-02-25,26485.00,5,5
28864,3753,14,2022-02-25,17995.00,5,3
28865,3754,8,2022-02-25,26078.90,5,5
28866,3755,3,2022-02-25,28990.00,5,5
28867,3756,7,2022-02-25,24995.00,5,5
28868,3757,14,2022-02-25,18074.00,2,5
28869,3758,3,2022-02-25,27537.75,5,5
28870,3759,11,2022-02-25,18444.00,3,5
28871,3760,7,2022-02-26,18444.00,5,5
28872,3761,11,2022-02-26,19143.00,5,5
28873,3762,1,2022-02-26,27480.00,5,5
28874,3763,3,2022-02-26,28305.85,5,5
28875,3764,6,2022-02-26,18088.85,5,5
28876,3765,12,2022-02-26,25074.00,3,5
28877,3766,14,2022-02-26,18444.00,4,5
28878,3767,8,2022-02-26,19509.75,5,5
28879,3768,1,2022-02-26,19.80,,
28880,3769,8,2022-02-26,174.00,,
28881,3770,1,2022-02-26,79.00,,
28882,3771,9,2022-02-26,29380.00,5,1
28883,3772,13,2022-02-26,28468.75,5,4
28884,3773,13,2022-02-26,19172.75,4,5
28885,3774,15,2022-02-26,17999.95,2,5
28886,3775,8,2022-02-27,19782.85,5,5
28887,3776,1,2022-02-27,19189.00,5,5
28888,3777,3,2022-02-27,27375.00,5,5
28889,3778,7,2022-02-27,26004.85,5,5
28890,3779,6,2022-02-27,26768.00,5,5
28891,3780,12,2022-02-27,25019.75,5,4
28892,3781,6,2022-02-27,19069.00,5,5
28893,3782,9,2022-02-27,28019.75,5,1
28894,3783,1,2022-02-27,26485.00,5,5
28895,3784,6,2022-02-27,25542.80,5,4
28896,3785,8,2022-02-27,25569.00,4,5
28897,3786,15,2022-02-27,18167.85,5,5
28898,3787,1,2022-02-27,25014.80,5,3
28899,3788,9,2022-02-28,28990.00,5,2
28900,3789,7,2022-02-28,25578.90,5,5
28901,3790,14,2022-02-28,20708.75,5,5
28902,3791,3,2022-02-28,25990.00,5,5
28903,3792,14,2022-03-01,19802.65,5,5
28904,3793,3,2022-03-01,29.70,,
28905,3794,3,2022-03-01,29439.00,5,5
28906,3795,11,2022-03-02,25787.85,5,5
28907,3797,11,2022-03-03,28093.80,1,1
28908,3798,9,2022-03-03,18074.00,3,5
28909,3799,9,2022-03-04,28133.00,5,4
28910,3800,7,2022-03-04,26768.00,5,4
28911,3801,13,2022-03-04,34.65,,
28912,3802,9,2022-03-04,29518.00,5,3
28913,3803,13,2022-03-04,28990.00,5,4
28914,3804,9,2022-03-04,24.75,,
28915,3805,14,2022-03-04,20606.85,5,5
28916,3806,13,2022-03-04,25542.80,5,2
28917,3807,3,2022-03-04,25078.95,5,5
28918,3808,6,2022-03-04,19985.00,5,5
28919,3809,14,2022-03-05,26004.85,1,5
28920,3810,11,2022-03-05,18718.75,4,1
28921,3811,3,2022-03-05,28009.85,5,5
28922,3812,7,2022-03-05,26518.00,4,5
28923,3813,7,2022-03-05,19593.70,5,5
28924,3814,6,2022-03-05,18473.70,5,5
28925,3815,8,2022-03-06,28999.90,5,5
28926,3816,7,2022-03-06,79.00,,
28927,3817,6,2022-03-06,26518.00,5,4
28928,3818,7,2022-03-06,19.80,,
28929,3819,3,2022-03-06,26083.85,5,5
28930,3820,13,2022-03-06,28444.00,5,5
28931,3821,6,2022-03-06,19069.00,2,5
28932,3822,6,2022-03-06,26069.00,5,1
28933,3823,13,2022-03-06,27014.70,5,5
28934,3824,6,2022-03-06,18547.75,4,1
28935,3825,1,2022-03-06,25074.00,5,5
28936,3826,3,2022-03-06,26518.00,5,5
28937,3827,1,2022-03-06,29504.80,5,5
28938,3828,3,2022-03-06,14.85,,
28939,3829,9,2022-03-06,19143.00,5,4
28940,3830,8,2022-03-06,28074.00,3,5
28941,3831,3,2022-03-06,25939.00,5,5
28942,3832,12,2022-03-06,26004.85,4,5
28943,3833,7,2022-03-06,19268.00,4,4
28944,3834,9,2022-03-07,20152.85,5,5
28945,3835,9,2022-03-07,29713.75,5,3
28946,3836,12,2022-03-07,28569.00,3,2
28947,3837,14,2022-03-07,18542.80,5,5
28948,3838,14,2022-03-07,18478.65,4,5
28949,3839,15,2022-03-07,28773.00,5,3
28950,3840,7,2022-03-07,18014.80,3,5
28951,3841,14,2022-03-08,19069.00,2,5
28952,3842,11,2022-03-08,18694.00,5,5
28953,3843,11,2022-03-08,29532.85,5,3
28954,3846,6,2022-03-09,26689.00,3,5
28955,3847,9,2022-03-10,28773.00,5,5
28956,3848,6,2022-03-10,20064.00,5,5
28957,3849,8,2022-03-10,26268.00,5,5
28958,3850,9,2022-03-10,28074.00,5,5
28959,3851,11,2022-03-10,39.60,,
28960,3852,1,2022-03-10,28490.00,5,5
28961,3853,3,2022-03-11,28953.85,5,1
28962,3854,8,2022-03-11,30184.00,2,5
28963,3855,3,2022-03-11,20138.00,5,5
28964,3856,11,2022-03-11,34.65,,
28965,3857,6,2022-03-11,18014.80,3,5
28966,3858,8,2022-03-11,18939.00,5,5
28967,3859,11,2022-03-11,114.80,,
28968,3860,9,2022-03-11,18681.00,5,5
28969,3861,1,2022-03-11,28990.00,4,5
28970,3862,8,2022-03-11,26069.00,5,5
28971,3863,6,2022-03-11,25990.00,5,5
28972,3864,9,2022-03-11,29143.00,1,5
28973,3865,11,2022-03-12,18787.85,5,5
28974,3866,12,2022-03-12,20184.00,5,5
28975,3867,1,2022-03-12,19777.90,5,5
28976,3868,6,2022-03-12,24995.00,5,4
28977,3870,12,2022-03-12,24995.00,5,5
28978,3871,12,2022-03-13,29643.00,5,1
28979,3872,6,2022-03-13,26847.00,4,5
28980,3873,7,2022-03-13,20870.00,3,5
28981,3874,15,2022-03-13,17995.00,3,5
28982,3875,8,2022-03-13,18514.75,4,5
28983,3876,7,2022-03-13,27064.00,5,5
28984,3877,7,2022-03-13,18782.90,5,5
28985,3878,9,2022-03-13,28694.00,2,4
28986,3879,8,2022-03-13,29453.85,2,4
28987,3880,8,2022-03-13,26098.70,5,5
28988,3881,9,2022-03-13,28994.95,5,1
28989,3882,7,2022-03-13,27171.00,5,5
28990,3883,7,2022-03-13,28990.00,5,5
28991,3884,15,2022-03-13,17995.00,5,4
28992,3885,6,2022-03-13,18098.75,4,5
28993,3886,7,2022-03-13,27592.00,4,4
28994,3888,6,2022-03-13,19768.00,5,1
28995,3889,12,2022-03-13,25990.00,5,2
28996,3890,1,2022-03-13,17995.00,5,5
28997,3891,9,2022-03-13,18994.95,5,5
28998,3892,15,2022-03-13,26689.00,5,5
28999,3893,7,2022-03-13,18074.00,1,5
29000,3894,7,2022-03-14,18694.00,3,5
29001,3896,15,2022-03-14,19797.70,5,1
29002,3897,3,2022-03-15,26768.00,5,5
29003,3898,3,2022-03-15,14.85,,
29004,3900,11,2022-03-15,26143.00,1,3
29005,3901,11,2022-03-16,29518.00,5,3
29006,3902,8,2022-03-16,18108.65,5,5
29007,3903,8,2022-03-16,14.85,,
29008,3904,9,2022-03-17,30138.00,5,4
29009,3905,9,2022-03-17,19143.00,5,5
29010,3906,8,2022-03-17,27537.75,3,5
29011,3907,11,2022-03-17,103.75,,
29012,3909,1,2022-03-18,79.00,,
29013,3910,6,2022-03-18,25990.00,4,2
29014,3911,1,2022-03-18,25694.00,5,2
29015,3912,6,2022-03-18,26004.85,5,4
29016,3913,1,2022-03-18,24995.00,5,5
29017,3914,13,2022-03-18,28990.00,5,1
29018,3915,3,2022-03-18,26458.80,5,5
29019,3916,3,2022-03-18,30013.00,5,5
29020,3917,9,2022-03-19,25708.85,5,5
29021,3918,11,2022-03-19,26468.70,2,5
29022,3919,8,2022-03-19,18004.90,2,1
29023,3920,6,2022-03-19,18004.90,2,5
29024,3921,8,2022-03-19,31216.95,5,3
29025,3922,6,2022-03-19,27064.00,5,5
29026,3923,7,2022-03-19,19.80,,
29027,3925,8,2022-03-19,29009.80,5,4
29028,3926,7,2022-03-20,26564.00,5,5
29029,3927,15,2022-03-20,19103.65,5,5
29030,3928,13,2022-03-20,17995.00,4,5
29031,3929,3,2022-03-20,557.70,,
29032,3930,7,2022-03-20,29485.00,5,5
29033,3931,6,2022-03-20,19069.00,5,5
29034,3932,7,2022-03-20,29768.00,5,1
