DateID,DOW,Price,Holiday,Skies,HiTemp,Wind,NewSnow,BaseDepth,GuestCount,Month
20170122,Sunday,Peak,n,Sun,26,8,0,90,718,January
20170123,Monday,Weekday,n,Cloudy,23,5,4,93,617,January
20170124,Tuesday,Weekday,n,Cloudy,21,13,0,93,361,January
20170125,Wednesday,Weekday,n,Sun,19,4,0,92,613,January
20170126,Thursday,Weekday,n,Sun,18,5,0,92,517,January
20170127,Friday,Weekday,n,Sun,21,10,0,90,443,January
20170128,Saturday,Peak,n,Snow,29,6,3,92,999,January
20170129,Sunday,Peak,n,Snow,27,14,8,97,1363,January
20170130,Monday,Weekday,n,Snow,16,14,3,99,664,January
20170131,Tuesday,Weekday,n,Sun,14,7,0,99,356,January
20170201,Wednesday,Weekday,n,Snow,11,9,1,100,562,February
20170202,Thursday,Weekday,n,Snow,13,5,1,100,694,February
20170203,Friday,Weekday,n,Snow,16,5,3,102,822,February
20170204,Saturday,Peak,n,Cloudy,17,7,0,102,515,February
20170205,Sunday,Peak,n,Sun,18,5,0,102,683,February
20170206,Monday,Weekday,n,Snow,28,6,3,103,796,February
20170207,Tuesday,Weekday,n,Fog,23,5,0,103,279,February
20170208,Wednesday,Weekday,n,Fog,18,8,0,101,282,February
20170209,Thursday,Weekday,n,Cloudy,20,11,0,101,237,February
20170210,Friday,Weekday,n,Sun,28,4,0,101,447,February
20170211,Saturday,Peak,n,Sun,28,7,0,99,517,February
20170212,Sunday,Peak,n,Sun,34,4,0,99,293,February
20170213,Monday,Weekday,n,Snow,29,9,4,101,799,February
20170214,Tuesday,Weekday,n,Snow,28,15,4,103,696,February
20170215,Wednesday,Weekday,n,Cloudy,39,15,0,103,218,February
20170216,Thursday,Weekday,n,Sun,42,9,0,102,367,February
20170217,Friday,Peak,y,Cloudy,35,9,0,100,357,February
20170218,Saturday,Peak,y,Cloudy,34,18,0,100,531,February
20170219,Sunday,Peak,y,Snow,37,16,2,100,1171,February
20170220,Monday,Peak,y,Sun,27,9,0,100,1073,February
20170221,Tuesday,Weekday,n,Sun,32,4,0,98,386,February
20170222,Wednesday,Weekday,n,Snow,26,14,1,98,801,February
20170223,Thursday,Weekday,n,Cloudy,25,6,0,98,412,February
20170224,Friday,Weekday,n,Sun,31,5,0,96,390,February
20170225,Saturday,Peak,n,Sun,36,7,0,96,533,February
20170226,Sunday,Peak,n,Sun,42,9,0,94,398,February
20170227,Monday,Weekday,n,Cloudy,34,13,0,94,51,February
20170228,Tuesday,Weekday,n,Sun,41,7,0,94,68,February
20170301,Wednesday,Weekday,n,Cloudy,31,13,0,92,28,March
20170302,Thursday,Weekday,n,Snow,41,5,1,92,534,March
20170303,Friday,Weekday,n,Cloudy,38,10,0,90,248,March
20170304,Saturday,Peak,n,Snow,46,4,1,90,782,March
20170305,Sunday,Peak,n,Sun,47,6,0,88,460,March
20170306,Monday,Weekday,n,Snow,46,4,1,88,498,March
20170307,Tuesday,Weekday,n,Snow,37,11,7,93,624,March
20170308,Wednesday,Weekday,n,Sun,34,6,0,92,390,March
20170309,Thursday,Weekday,n,Snow,30,7,1,92,558,March
20170310,Friday,Weekday,n,Cloudy,33,9,0,92,255,March
20170311,Saturday,Peak,n,Sun,47,14,0,92,393,March
20170312,Sunday,Peak,n,Sun,45,7,0,88,360,March
20170313,Monday,Weekday,n,Snow,37,9,1,88,601,March
20170314,Tuesday,Weekday,n,Cloudy,32,7,0,87,224,March
20170315,Wednesday,Weekday,n,Cloudy,27,15,0,87,281,March
20170316,Thursday,Weekday,n,Snow,24,14,4,90,626,March
20170317,Friday,Weekday,n,Snow,29,11,10,100,738,March
20170318,Saturday,Peak,n,Cloudy,29,12,0,100,332,March
20170319,Sunday,Peak,n,Sun,28,9,0,100,640,March
20170320,Monday,Weekday,n,Sun,38,14,0,98,222,March
20170321,Tuesday,Weekday,n,Sun,52,12,0,98,109,March
20170322,Wednesday,Weekday,n,Cloudy,34,7,0,90,54,March
20170323,Thursday,Weekday,n,Cloudy,28,19,0,90,39,March
20170324,Friday,Weekday,n,Snow,33,16,2,90,465,March
20170325,Saturday,Peak,n,Cloudy,37,15,0,90,209,March
20170326,Sunday,Peak,n,Snow,29,15,7,92,1095,March
20170327,Monday,Weekday,n,Cloudy,31,6,0,92,270,March
20170328,Tuesday,Weekday,n,Snow,37,12,5,95,609,March
20170329,Wednesday,Weekday,n,Cloudy,25,7,0,95,400,March
20170330,Thursday,Weekday,n,Cloudy,17,7,0,95,321,March
20170331,Friday,Weekday,n,Cloudy,24,7,0,91,313,March
20170401,Saturday,Peak,n,Sun,35,7,0,91,323,April
20170402,Sunday,Peak,n,Snow,41,5,4,90,671,April
20170403,Monday,Weekday,n,Sun,50,7,0,86,183,April
20170404,Tuesday,Weekday,n,Sun,51,7,0,86,191,April
20170405,Wednesday,Weekday,n,Rain,46,12,0,80,62,April
20170406,Thursday,Weekday,n,Sun,35,14,0,80,85,April
20170407,Friday,Weekday,n,Sun,49,10,0,80,67,April
20170408,Saturday,Peak,n,Sun,54,5,0,74,156,April
